ID	species	date	latitude	longitude	dayOfYear
94dce964-c225-4c48-933f-59bef7e7ef69	ERYTHRONIUM AMERICANUM	1980.27868852459	38.98768	-76.936897	102
c4872d00-21c2-48b5-b7c9-693d18622b4c	ERYTHRONIUM AMERICANUM	2004.29781420765	40.467302	-75.179588	109
45f5d9c0-337e-4f35-96fc-9b731b48a81c	ERYTHRONIUM AMERICANUM	2008.30327868852	40.853432	-73.411509	111
40d3f483-1625-4e6f-8919-e1306d877113	ERYTHRONIUM AMERICANUM	1912.30327868852	40.73402	-75.530184	111
b71196b9-34fc-47c8-88f9-f9bdf8d87f13	ERYTHRONIUM AMERICANUM	1960.31693989071	41.485053	-87.015962	116
7ba76add-396f-4a52-acde-9b874f0dfcba	ERYTHRONIUM AMERICANUM	1985.3397260274	42.7055675	-73.2037163	124
b24af33e-7dc8-4012-95ec-eb7729da94ca	ERYTHRONIUM AMERICANUM	1875.33150684932	42.36447	-72.50686	121
38c6d87e-cf3f-441e-8203-1cd54031dd2d	ERYTHRONIUM AMERICANUM	1931.41095890411	42.5645256	-72.8778763	150
1264cd39-8ad9-4688-baf4-cb23d52e05ef	ERYTHRONIUM AMERICANUM	1920.35245901639	40.559512	-79.958493	129
2d199d40-7df6-4778-9276-1bb8864ccf53	ERYTHRONIUM AMERICANUM	1963.33698630137	41.40136	-73.47053	123
aff1a2b9-0f22-491f-80ec-5cf50b30e9c6	ERYTHRONIUM AMERICANUM	1994.33424657534	43.06913	-70.95162	122
7f580a90-65de-4fa8-b08e-213a77d6178a	ERYTHRONIUM AMERICANUM	1997.32876712329	42.27054	-71.80794	120
3ee765e7-2ff8-4395-bf2a-bb5f860632fe	ERYTHRONIUM AMERICANUM	1975.30684931507	38.988465	-76.932839	112
4e0fde99-5b80-4ded-a571-355947827bbe	ERYTHRONIUM AMERICANUM	1978.31506849315	38.997414	-76.939863	115
b9516a74-ef69-47af-ab8d-46d5686b86a2	ERYTHRONIUM AMERICANUM	1966.31780821918	39.064438	-77.034847	116
beb689d2-f91b-495e-b43e-b172d883e4b8	ERYTHRONIUM AMERICANUM	1925.3095890411	40.617796	-74.108494	113
b776494b-7837-4d28-a0d7-dabfe4778c5f	ERYTHRONIUM AMERICANUM	2002.27671232877	35.443175	-86.301497	101
aee68557-8ee5-406f-af58-79a53ccc80d9	ERYTHRONIUM AMERICANUM	2002.3095890411	36.09655	-85.827402	113
afa32468-4ecd-47ec-8136-1da1b5619acd	ERYTHRONIUM AMERICANUM	1955.30136986301	36.357288	-82.983888	110
5d5a4fa6-114c-449d-a3b2-020c3d04d49a	ERYTHRONIUM AMERICANUM	1986.27397260274	35.953231	-83.933976	100
34579067-9460-4f99-9d0d-c69c18cb6802	ERYTHRONIUM AMERICANUM	1956.37431693989	36.000463	-86.460558	137
c84a37c4-a967-4af9-ab97-0e5db4b45750	ERYTHRONIUM AMERICANUM	1988.32240437158	35.892605	-85.308859	118
ef2edc0a-abbe-4feb-8af5-cb06d8ea75ac	ERYTHRONIUM AMERICANUM	1984.36612021858	41.880565	-72.983018	134
de0b6980-45d5-43ad-92a1-cffa3f7eb8c8	ERYTHRONIUM AMERICANUM	1995.25479452055	38.626688	-83.19947100000002	93
ccc0aa60-fc2b-4c49-bb8a-081d4a25112e	ERYTHRONIUM AMERICANUM	1993.29589041096	40.25556	-79.78944	108
5cc4445d-da6d-4133-a215-31034164032e	ERYTHRONIUM AMERICANUM	1941.35068493151	40.456813	-79.451313	128
34501534-352d-4a22-bb61-afdef95e1b8a	ERYTHRONIUM AMERICANUM	1916.34699453552	40.503957	-80.140335	127
4f9ae2ee-5fb1-4724-ba8f-24516d39fdde	ERYTHRONIUM AMERICANUM	1908.31967213115	40.658088	-80.094007	117
ed704e3a-7f5e-42d7-b1a7-de9aba8a9ae5	ERYTHRONIUM AMERICANUM	1969.33698630137	40.46570100000001	-80.468316	123
ee8e0670-74f1-4da7-bcb5-af40e8eb5b5d	ERYTHRONIUM AMERICANUM	1959.36712328767	41.38845	-79.999054	134
3b01345b-69c1-45f8-96b0-73ce71298653	ERYTHRONIUM AMERICANUM	1926.36164383562	42.17638	-72.57186	132
31d01ccb-8aa5-4616-9dd9-82a72e03a7ba	ERYTHRONIUM AMERICANUM	1969.33150684932	43.02094	-72.33032	121
