ID	species	date	latitude	longitude	dayOfYear
f09b0025-0979-4e7d-b4e2-52d3a2f307d2	THALICTRUM THALICTROIDES	1964.29781420765	41.556405	-87.59960800000002	109
4b635291-8a77-436d-bf2f-b820eb8f8350	THALICTRUM THALICTROIDES	1926.31780821918	40.080147	-75.068475	116
0d9ddc01-e00b-4856-a72e-7688deb2c768	THALICTRUM THALICTROIDES	2004.36612021858	41.0436	-87.84763	134
9f6663e6-4dff-4f09-8557-570c43c51ce3	THALICTRUM THALICTROIDES	1903.30410958904	42.02230000000001	-73.2936	111
1d3d5625-db71-45f8-b2f6-a8ec3ca1981d	THALICTRUM THALICTROIDES	1994.29589041096	41.40136	-73.47053	108
70b23a21-fc08-44bf-bbaf-a684b420ed7b	THALICTRUM THALICTROIDES	1969.27671232877	34.5761111	-85.5966667	101
252a1846-2f4f-4247-a392-4f4cd3aa70b1	THALICTRUM THALICTROIDES	1950.28493150685	40.3305	-74.94065	104
4ae7a64b-39bc-4db0-9df1-c3893eec50d7	THALICTRUM THALICTROIDES	1881.35068493151	41.058153	-74.752665	128
29c98acc-b161-48c7-86d7-1593ecaef71b	THALICTRUM THALICTROIDES	1873.30410958904	41.407	-72.9316	111
5ab9735f-6be3-4d02-a9e1-7b079f5a9961	THALICTRUM THALICTROIDES	1901.34246575342	41.4313	-73.1351	125
eb9c0075-bdc6-445f-beb7-6ed6c3242eee	THALICTRUM THALICTROIDES	1970.34794520548	41.5367	-72.7944	127
a29af2e2-cd75-4aa9-91b7-4f273d614579	THALICTRUM THALICTROIDES	1956.34426229508	41.047965	-74.03569	126
39268a67-71aa-4d7b-981d-a0aedc4c988a	THALICTRUM THALICTROIDES	1932.36885245902	41.406	-72.4831	135
dad1a003-2010-4345-a7c6-2ff7b29429a9	THALICTRUM THALICTROIDES	1922.32602739726	40.188578	-75.26472	119
5092e340-dd24-45d5-8365-e3ae13661389	THALICTRUM THALICTROIDES	1946.35068493151	40.675008	-79.181762	128
86121b0e-ea85-4460-9cae-5f13d1e24311	THALICTRUM THALICTROIDES	1934.30410958904	39.266944	-86.249167	111
c78269ea-7c15-4682-8c91-475de6d52c72	THALICTRUM THALICTROIDES	1946.35890410959	40.151347	-77.715536	131
99d83c68-8580-4f25-8c08-0592dc500dbd	THALICTRUM THALICTROIDES	1941.47397260274	40.054931	-78.147051	173
d39de49a-c00c-4926-8440-723b884d1797	THALICTRUM THALICTROIDES	1914.33424657534	40.546367	-75.467643	122
566e937d-e9f3-4083-b0d6-1e26326b02b7	THALICTRUM THALICTROIDES	1958.31780821918	41.14639	-74.75278	116
a14a7595-0eac-4493-aba5-135447a5e624	THALICTRUM THALICTROIDES	1907.31780821918	40.585504	-75.480806	116
8d568805-78bc-4cdc-9437-898bace60f17	THALICTRUM THALICTROIDES	1884.30327868852	40.607048	-74.162088	111
86b6f62a-917b-4fca-b040-5e1c02fb69e7	THALICTRUM THALICTROIDES	1951.27671232877	37.16667	-80.38333	101
2cb21588-e520-4d05-8ec0-c5e8e7c5348e	THALICTRUM THALICTROIDES	1933.29863013699	41.46884	-90.882574	109
0e663839-c886-4c2b-b55b-3de5f46fd779	THALICTRUM THALICTROIDES	1885.36164383562	41.3961	-72.9217	132
